unit_id	label	text_nl	text_en	source
SU_0024	Kati	Gewichtseenheid, 1⁄100 pikol of ongeveer 6 hectogram. GM9: kati op Banda weegt 5 3⁄4 pond. A: gewichtseenheid van 625 gram. T4: een van oorsprong Chinees gewicht dat stond voor 16 taël, 1⁄100 pikol of circa 6 ons. Maleis käti.		(Kooijmans and Schooneveld-Oosterling 2000, 60)
SU_0024	Kati	Gewichtseenheid, 1⁄100 pikol of ongeveer 6 hectogram. Kati op Banda weegt 5 3⁄4 pond. Een van oorsprong Chinees gewicht dat stond voor 16 taël. Maleis käti.	A unit of weight, 1/100 pikol or about 600 grams. Kati on Banda weighs 5 3/4 pounds. Originally a chinese weight that was 16 taël. Malay käti.	(Lohanda et al. 2018, 92)
SU_0027	Rijnlandse Voet	Lengtemaat; 31 centimeter. 12 duim is 1 voet; 12 of 16 voet is 1 roede.		(Kooijmans and Schooneveld-Oosterling 2000, 122)
SU_0028	Duim	Lengtemaat, 1⁄11 voet of 2,6 centimeter.		(Kooijmans and Schooneveld-Oosterling 2000, 41)
SU_0028	Duim	Lengtemaat: 1/10, 1/11 of 1/12 voet; ca. 2,5 cm.		(Verhoeff 1983, 103)
SU_0030	Roede	Met 'roede' werd ook de vierkante roede aangeduid.		(Verhoeff 1983, 120)
SU_0032	Taille	Lengemaat: 1/16 el. De taille van de Haagse of Brabantse el, die vanaf 1725 officieel als 's lands el werd gebruikt, bedroeg 4,33 cm.		(Verhoeff 1983, 125)
SU_0033	Ons	1. II,1: gewichtseenheid voor het wegen van edele metalen, 1⁄8 mark of 2 lood; 2. gewichtseenheid. I,2: 1⁄16 pond. GM3: 0,031 kilogram = 20 engels = 640 aas.		(Kooijmans and Schooneveld-Oosterling 2000, 82)
SU_0033	Ons	Gewicht: a) medicinaal gewicht: 1/12 pond. b) alle overige gewichten: 1/16 pond.		(Verhoeff 1983, 117)
SU_0034	Loot	Gewichtseenheid, 1⁄16 mark.		(Kooijmans and Schooneveld-Oosterling 2000, 70)
SU_0034	Loot	Gewicht: handelsgewicht: 1/32 pond, 10 engels.		(Verhoeff 1983, 112)
SU_0041	Mangely	Gewichtseenheid voor het wegen van diamanten. Tamil manjadi, zaadkorrel van de adenanthera pavonina – vergelijk grein, dat ook een zaadkorrel was. De gewichten waren niet overal even zwaar, bijvoorbeeld 9, 12 of 131⁄2 in een pagode. Van de meest gebruikte waren volgens stapel 3023⁄4 mangelin gelijk aan 419 karaat. Dit komt vrij nauwkeurig overeen met de opgave van de Thévenot V, blz. 293: ‘Le poids principal des diamans est le mangelin; il pèse cinq grains et trois cinquièmes, et le carat ne pèse que quatre grains; et cing mangeins sont sept carats’. De Uytrekening daarentegen zegt, onder Golconda: ‘1 mangely is 13⁄8 caraat diamants gewigt’. Zie ook Yule-Burnell in voce mangelin. GM1: schommelend van 13⁄8 tot 11⁄2 karaat.		(Kooijmans and Schooneveld-Oosterling 2000, 72)
SU_0042	Karaat	Gewichtseenheid bij het wegen van edele metalen, gelijk aan 1⁄24 mark en onderverdeeld in 12 grein. In de diamanthandel was een karaat 4 grein of ruim 1/5 gram. Voor de etymologie zie yule-burnell in voce carat.		(Kooijmans and Schooneveld-Oosterling 2000, 59)
SU_0042	Karaat		Gewicht in goud en zilverhandel: a) A'dam: 1/150 A'dams ons = 205,9 mg, vanaf eind 18e eeuw: 1/150 Hollands Troois ons = 205,1 mg […] c) (=goudkaraat): 1/160 Troois ons = 192.3 mg	(Verhoeff 1983, 108)
SU_0048	Ammanam	Hoeveelheid van 24.000 stuks op Ceylon, meest gezegd van areka- of pinangnoten. Op Ceylon had men ook nog grote ammanams van 27.000 tot 28.000 stuks, op Pulicat rekende men met ammanams van 20.000 stuks. De Versameling der Woorden stelt de ammanam op 26.000 stuks. Zie ook Stapel II, 2, blz. 391.		(Kooijmans and Schooneveld-Oosterling 2000, 12)
SU_0060	Calange	Gewichtseenheid voor het wegen van parels en edelstenen, circa 7,2 gram. De onderverdeling was: 1 calange is 20 mangelin; 1 mangelin is 6 grein; 1 mangelin is 20 man; 1 man is 4 cani; 1 cani is 4 munderi.		(Kooijmans and Schooneveld-Oosterling 2000, 25)
SU_0067	Ceer	Gewichtseenheid, niet overal gelijk. Meest 80 ropia-sicca, circa 1,7 pond. P: 1⁄40 men-i- sjah. Hindustani ser.		(Kooijmans and Schooneveld-Oosterling 2000, 29-30)
SU_0069	Cobido	De Indische ellemaat, niet overal even lang, maar gemiddeld circa 70 centimeter. Latijn cubitum = elleboog. Zie yule-burnell in voce covid.		(Kooijmans and Schooneveld-Oosterling 2000, 32-33)
SU_0072	Corge	Bundel van 20 stuks geweven stoffen. Hindustani corge = 20. Zie yule-burnell in voce.		(Kooijmans and Schooneveld-Oosterling 2000, 34)
SU_0082	Amsterdamse el	Lengtemaat, circa 69 centimeter.		(Kooijmans and Schooneveld-Oosterling 2000, 41)
SU_0082	Amsterdamse el	Lengtemaat: 68,8 cm.		(Verhoeff 1983, 4)
SU_0083	Elle	Europese lengtemaat, gebruikt in de Aziatische textielhandel. Ongeveer 45 inches, of 0,688 meter	European measure of length, used in the Asian textile trading. It was about 45 inches, or 0.688 metre.	(Lohanda et al. 2018, 59)
SU_0083	Elle	Lengtemaat: speciaal voor textiel; ca. 0,70 m.		(Verhoeff 1983, 103)
SU_0084	Engels	Gewichtseenheid voor het wegen van edelgesteenten en edele metalen, 1⁄160 mark.		(Kooijmans and Schooneveld-Oosterling 2000, 42)
SU_0084	Engels	Gewicht: 1/320 pond, 1/20 ons.		(Verhoeff 1983, 104)
SU_0095	Gantang	1. Gewicht, verschillend per landstreek. Op West- en Midden-Java gold het vrij algemeen als 1⁄10 pikol (10 kati, ongeveer 12 pond); op Oost-Java maar 5 kati. Op Borneo had men gantangs van 4 1⁄2 pond. In de Bataviasche Statuten werd het bepaald op 13 1⁄3 pond. Van Goens zegt dat in Mataram de gantang een gewicht was ‘wegende 8 pond’; de Versameling der Woorden daarentegen: ‘een rijs- of peepermaat, waervan 400 in een last gaan’, wat neerkomt op 7 1⁄2 kati of 9 pond. Verder zegt laatstgenoemde bron dat op Ambon een gantang 171⁄2 pond was, ‘dog op andere plaatse wel ligter’. Zie De Haan, Priangan II, blz. 691 noot 3; 2. inhoudsmaat (vooral voor rijst en peper) van ruim 8 1⁄2 liter. T4: inhoudsmaat van circa 3 liter.		(Kooijmans and Schooneveld-Oosterling 2000, 46)
SU_0095	Gantang	Gewicht, verschillend per landstreek. Op West- en Midden-Java gold het vrij algemeen als 1⁄10 pikol (10 kati, ongeveer 12 pond); op Oost-Java maar 5 kati. Op Borneo had men gantangs van 4 1⁄2 pond. In de Bataviasche Statuten werd het bepaald op 13 1⁄3 pond. In Mataram was het een gewicht van 8 pond. Op Ambon 17 1⁄2 pond.	Measure of weight, with regional variations. On West and Mid Java it was regarded as 1/10 pikol (10 kati, around 12 pounds); on East Java only 5 kati. On Borneo gantangs were 4 1/2 pounds. In the regulations of Batavia it was stated as 13 1/3 pounds. In Mataram it was a weight of 8 pounds. On Ambon 17 1/2 pounds.	(Lohanda et al. 2018, 64)
SU_0098	Ges	Lengtemaat in Perzië en Voor- Indië, niet overal even lang, ook wel aangeduid als el (ook de cobido werd zo aangeduid, maar was niet identiek met de ges). Op Coromandel was de ges 1 1⁄4 Hollandse el (GM1: circa 92 centimeter); volgens Stapel II, 3 was een ges in Perzië 17⁄16 el Hollands; de Versameling der Woorden zegt: ‘ges maakt 11⁄2 el tot Gamron’. De Compagnie rekende de cobido op gemiddeld 70 centimeter, de ges op 94 centimeter (P: de lengte van de ges was waarschijnlijk 0,63 meter). Zie hotz, blz. 404-405, en Yule-Burnell in voce gudge.		(Kooijmans and Schooneveld-Oosterling 2000, 48)
SU_0106	Kandijl	Last, zoveel als een span ossen dragen kan. Volgens Valentijn V , 1, blz. 70 is dat 480 pond, ‘doch van mineraal 520 pond’; volgens Havart I, blz. 187, is een kandijl op Machilipatnam 480 pond, op Golconda 520 pond. Havart III, blz. 26 zegt: ‘ijder os draagd twee honderd veertig ponden’. Eenmaal was er sprake van 540 pond en van 690 pond. Zie ook Yule-Burnell in voce candi. K: 470 of 500 Amsterdamse pond. GM2: 1 kandijl = 4 pikol = 1⁄5 last.		(Kooijmans and Schooneveld-Oosterling 2000, 59)
SU_0106	Kandijl		Load, as much as a team of oxen can carry; it was about 480 pond in Machilipatnam, in Golconda 520 pond. One kandijl = 4 picols = 1⁄5 last.	(Lohanda et al. 2018, 89)
SU_0116	Last	Kojang. GM2: 1 last = 20 pikol (circa 1250 kilogram). K: gewoonlijk 3000 pond.		(Kooijmans and Schooneveld-Oosterling 2000, 67)
SU_0116	Last	Inhoudsmaat droge waren, speciaal graan. Grootste graanmaat in een belangrijk deel van Nederland, het Amsterdamse last werd in de 16e eeuw de algemene graanmaat voor de grootahandel en het lastvan andere steden werd verondersteld even groot te zijn, meest was het last een twaalfvoud, soms een elfvoud van de maten waarin het was onderverdeeld; de metingen van zevenboom van het Amsterdamse schepel geven een vermoedelijke werkelijke waarde van het last van 109 x 27.914=3014.7 liter, een afronding op 3010 liter lijkt redelijk		(Verhoeff 1983, 111)
SU_0124	Man	1. In geheel West-Azië bekende naam voor een gewichtseenheid van de meest uiteenlopende zwaarte. In Arabië kende men een man van 25⁄8 pond Hollands, maar er waren ook mans van 20, 24, 36, 53, 68 en 74 pond. Het verschil werd niet slechts bepaald naar het land, maar ook door de te wegen koopwaar. Zo werd de indigo meest verkocht in mans van 36, de salpeter daarentegen in mans van 68 pond. In eenzelfde land had men soms twee soorten mans; zo kende men in Gudjarat een grote man van 36 1⁄2 pond en een kleine man van 341 ⁄2 pond. Onafhankelijk van de plaatselijke waarde was de man verdeeld in 40 ceer. 10 Man was een frasel, 150 man een bahar. Het woord man is niet het Portugese moa = hand, maar van oud-Mesopotamische oorsprong en komt reeds in het klassieke Grieks voor en in het Latijn als mina. Zie Yule-Burnell in voce maund; ook Hotz, blz. 410. 2. gewichtseenheid voor parels, 1⁄20 mangelin*.		(Kooijmans and Schooneveld-Oosterling 2000, 72)
SU_0124	Man	In geheel West-Azië bekende naam voor een gewichtseenheid van de meest uiteenlopende zwaarte. In Arabië kende men een man van 2 5⁄8 pond Hollands, maar er waren ook mans van 20, 24, 36, 53, 68 en 74 pond. Het verschil werd niet slechts bepaald naar het land, maar ook door de te wegen koopwaar. Zo werd de indigo meest verkocht in mans van 36, de salpeter daarentegen in mans van 68 pond. In eenzelfde land had men soms twee soorten mans; zo kende men in Gudjarat een grote man van 36 1⁄2 pond en een kleine man van 34 1⁄2 pond. Onafhankelijk van de plaatselijke waarde was de man verdeeld in 40 ceer. 10 Man was een frasel, 150 man een bahar. Het woord man is niet het Portugese moa = hand, maar van oud- Mesopotamische oorsprong en komt reeds in het klassieke Grieks voor en in het Latijn als mina.	In West Asia wellknown term for a unity of different weight. In Arabia one man was known as 2 5/8 Dutch pounds, but there were also man of 20, 24, 36, 53, 68 and 74 pounds. It differed not only by country, but also by type of goods. For example, the indigo was mostly sold in mans of 36, the sulphur in man of 68 pond. In the same country sometimes two different values for a man were used, so in Gujarat one big man of 36 1/2 pound and a small man of 34 1/2 pound. Regardless of the local value, one man was always divided into 40 ceer; 10 man was one frasel, 150 man was one bahar. The word was not from the Portuguese moa = hand, but has an old Mesopotamian origin and appears in classic greek and Latin as mina.	(Lohanda et al. 2018, 109)
SU_0126	Mark	Gewichtseenheid voor het wegen van goud, zilver en edelgesteenten. Niet overal even zwaar, maar meest 230,4 gram, en dan genoemd mark-troys, naar de stad Troyes in Frank- rijk. Er zijn verschillende onderverdelingen: 1 mark (fijns) = 12 penningen* = 24 karaat* = 288 grein* = 4920 milligram; 1 mark = 8 once* = 16 lood* = 64 quent* = 160 engels* = 5120 ase*; 1 mark = 10 mat*. Ook in de geneeskunde was de mark een gewichts- eenheid. De onderverdeling was daar: 1 mark = 8 oncen = 64 drachmen = 192 scrupel = 3840 grein. GM4: 1 mark = 16 lood = 288 grein.		(Kooijmans and Schooneveld-Oosterling 2000, 73)
SU_0127	Markal	Maat voor granen; de inhoud aan graan had een gewicht van circa 12 ceer, circa 20,4 pond.		(Kooijmans and Schooneveld-Oosterling 2000, 73-4)
SU_0149	Parra	1. Graanmaat, niet overal van dezelfde inhoud, zodat meest het gewicht erbij werd gevoegd. In Pulicat had men parra’s van 48, op Ceylon van 40, in Nagapattinam van 371⁄2 pond. In Pegu werd de rijst verhandeld bij parra’s van 52 pond. K: Malabars gewicht van 40 pond.		(Kooijmans and Schooneveld-Oosterling 2000, 87)
SU_0155	Pikol	Draaglast; zoveel als een man aan een juk kan dragen, meest bepaald op 125 pond. Onderverdeeld in 10 gantang en 100 kati. Maleis pikul; pikulan = juk. P. stelt de pikol op 120 pond en maakt onderscheid in de pikol Siam en pikol Pegu van dat gewicht en de pikol Batavia en pikol Tayouan van 122 pond. K: 122 1⁄2 pond.		(Kooijmans and Schooneveld-Oosterling 2000, 91)
SU_0155	Pikol	Draaglast; zoveel als een man aan een juk kan dragen, als 100 kati, ongeveer 60 tot 62.5 kilogram, 125 tot 133,3 pond, twee zakken peper zijnde 60 kilo, 125 Hollandse ponden of 62 kilo tin; onderverdeeld in 10 gantangs en 100 katis.	A man’s load, that can be carried on a yoke, regarded as 100 kati, approximately 60 to 62.5 kilograms, 125 to 133,3 pounds, two sacks taken as 60 kilograms for pepper, 125 Dutch pounds or 62 kilograms for tin, subdivided in 10 gantangs and 100 katis.	(Lohanda et al. 2018, 138)
SU_0157	Pint	Inhoudsmaat, 1⁄2 mingelen of 4 mutsjes, circa 0,6 liter.		(Kooijmans and Schooneveld-Oosterling 2000, 91)
SU_0172	Roede	Lengtemaat die lokaal vrij sterk varieerde; de Amsterdamse was 4,53 meter. K: Amsterdamse roede 13 of 16 voet; Rijnlandse roede 12 of 16 voet.		(Kooijmans and Schooneveld-Oosterling 2000, 98)
SU_0172	Roede	Door vrijwel het hele land bekende landmaat; zeer variabel, vooral door het verschillend aanta - van 7 tot 21 - voeten dat een roede kon bevatten.		(Verhoeff 1983, 121)
SU_0187	Taël	Zowel een gewichts- als een munteenheid in tal van oosterse landen, als China, Japan, Tonkin, Cambodja, Siam, Atjeh, Makassar, Bandjarmasin etc. Als gewicht was de taël meest 1⁄16 kati of ongeveer 37 1⁄2 gram. Zodanig gewicht aan schuitzilver vormde in Japan de grondslag van het muntstelsel en werd eveneens taël genoemd. Deze was onderverdeeld in 10 maas = 100 condrin = 1000 rin (Japan had het decimale stelsel). Tot 1666 rekende men bij de Compagnie de Japanse taël op 57 stuiver, daarna werd ze ingevolge een instructie van Heren XVII, die enige eenheid in het zeer verwarde systeem van omrekening der Indische munten wilden brengen, gefixeerd op 70 stuiver. De Chinese taël kwam vrijwel met de Japanse overeen; de waarde was er iets hoger en werd bij de Compagnie berekend op 80 stuiver. In Tonkin was de taël als gewicht eveneens 1⁄16 kati; als munt, verdeeld in 10 maas en 100 condrin, gold ze ƒ 4,12 1⁄2 à ƒ 4,25, door hoger gehalte. In Siam was de taël als gewicht 1⁄20 kati of circa 30 gram; als munt was ze verdeeld in 16 maas en 32 fuang. De waarde was er ruim ƒ 7. Ook in Cambodja was de taël als gewicht 1⁄20 kati; als munt gold ze echter slechts ƒ 3, door minder gehal-te. Op Atjeh had men als munt de gouden taël ter waarde van 4 rijksdaalder, verdeeld in 16 gouden maas. Als zilvermunt had men daar nog de Spaanse reaal à 60 stuiver, onderverdeeld in 8 zilveren maas. Ook op Makassar had men gouden taëls, verdeeld in 16 gouden maas, welke laatste door de Compagnie werden aangenomen voor 30 stuiver. P: de taël gold (in Hindustan) 11 tot 13 ropia. T3: Chinees liang, Japans ryo.		(Kooijmans and Schooneveld-Oosterling 2000, 112)
SU_0187	Taël	Zowel een gewichts- als een munteenheid in tal van oosterse landen, als China, Japan, Tonkin, Cambodja, Siam, Atjeh, Makassar, Bandjarmasin etc. Als gewicht was de taël meest 1⁄16 kati of ongeveer 37 1⁄2 gram. Zodanig gewicht aan schuitzilver vormde in Japan de grondslag van het muntstelsel en werd eveneens taël genoemd. Deze was onderverdeeld in 10 maas = 100 condrin = 1000 rin (Japan had het decimale stelsel). Tot 1666 rekende men bij de Compagnie de Japanse taël op 57 stuiver, daarna werd ze ingevolge een instructie van Heren XVII, die enige eenheid in het zeer verwarde systeem van omrekening der Indische munten wilden brengen, gefixeerd op 70 stuiver. De Chinese taël kwam vrijwel met de Japanse overeen; de waarde was er iets hoger en werd bij de Compagnie berekend op 80 stuiver. In Tonkin was de taël als gewicht eveneens 1⁄16 kati; als munt, verdeeld in 10 maas en 100 condrin, gold ze ƒ 4,12 1⁄2 à ƒ 4,25, door hoger gehalte. In Siam was de taël als gewicht 1⁄20 kati of circa 30 gram; als munt was ze verdeeld in 16 maas en 32 fuang. De waarde was er ruim ƒ 7. Ook in Cambodja was de taël als gewicht 1⁄20 kati; als munt gold ze echter slechts ƒ 3, door minder gehalte. Op Atjeh had men als munt de gouden taël ter waarde van 4 rijksdaalder, verdeeld in 16 gouden maas. Als zilvermunt had men daar nog de Spaanse reaal à 60 stuiver, onderverdeeld in 8 zilveren maas. Ook op Makassar had men gouden taëls, verdeeld in 16 gouden maas, welke laatste door de Compagnie werden aangenomen voor 30 stuiver. De taël gold (in Hindustan) was 11 tot 13 ropia waard.	A measure of weight as well as a measure of coinage in several Eastern countries, like China, Japan, Tonkin, Cambodja, Siam, Atjeh, Makassar, Bandjarmasin etc. As a weight measure the taël usually was 1/16 kati or about 37 1/2 grams. A weight like that formed the base for the coin system in Japan and was also called taël. This was divided in 10 maas = 100 condrin = 1000 rin (Japan had the decimal system). Until 1666 the Japanese taël was accounted for 57 stuiver, after that a decree by the Heren XVII instructed to fix the rate to 70 stuiver in order to bring some unification in the exchange of Indian coins. The Chinese taël was very similar to the Japanese, the value a little higher and set by the VOC to 80 stuiver. In Tonkin the taël was 1/16 kati as a weight measure; as a coin divided into 10 maas and 100 condrin, she was f 4,12 1/2 à f 4,25, because of higher silver level. In Siam the taël was as weight 1/20 kati or about 30 grams; as coin she was divided in 16 maas and 32 fuang. The value was over f 7. Also in Cambodja the taël was as weight 1/20 kati; as coin only f 3, because of less silver level. On Atjeh the golden taël was worth 4 rijksdaalder, divided into 16 golden maas. As silver coin there was also the Spanish reaal à 60 stuiver, divided into 8 silver maas. Also on Makassar there were golden taëls, divided into 16 golden maas that	(Lohanda et al. 2018, 181-2)
SU_0199	Vadem	Lengtemaat, 6 voet of 66 duim of circa 1,69 meter.		(Kooijmans and Schooneveld-Oosterling 2000, 120)
SU_0199	Vadem	Lengtemaat van 5 tot 6 voeten. […] grote vadem, in gebuirk bij marine en VOC: 6 Rijnlandsche voet = 1,88 meter.		(Verhoeff 1983, 127)
SU_0278	Maat	Betekenisvereniging tot een bepaalde maat. Vlaktemaat en inhoudsmaat droge waren.		(Verhoeff 1983, 113)
SU_0292	pees	Stuks. Afgekort als ps. Portugees peça, Frans pièce.		(Kooijmans and Schooneveld-Oosterling 2000, 89)
SU_0360	Voet	Lengtemaat: a) Overal bekende lengtemaat, onderdeel van roede;bevat meest 10 of 12 duim en op enige plaatsen (o.a. Amsterdam, Breda, Haarlem) 11 duim; te Heerenveen 13 duim; vaak waren twee of meer voeten, voor verschillende doeleinden, in gebruik, hier te lande liepen de voeten uiteen 26.8 cm (Utrechtse stadsvoet) tot 32.6 cm (Friese koningsvoet) b) landmetersvoet of geometrische voet: de decimale voet (1/10 roede, 10 duim) die door landmeters werd gebruikt; bv bij de Rijnlandse roede: 37.67 cm		(Verhoeff 1983, 130)
SU_0365	Bidoor	Gewichtseenheid op Malakka, speciaal gebruikt bij het afwegen van tin, gelijk aan 3 Hollandse pond.		(Kooijmans and Schooneveld-Oosterling 2000, 20)
SU_0403	Aas	Gewicht: kleinste handelsgewicht, 1/10240 pond, 1/32 engels; afhankelijk van het pond varierend van 0,046 tot 0,048 gram		(Verhoeff 1983, 99)
SU_0413	Thola	Gewichtseenheid in Hindustan, circa 180 gram; onderverdeeld in 12 masha.		(Kooijmans and Schooneveld-Oosterling 2000, 115)
SU_0415	Grijn	1. Gewicht: a) medicinaal gewicht: 1/5760 med. Pond, 1/20 scrupel b) diamantgewicht (ook wel in de parelhandel gebruikt): 1/4 karaat, ca 0.051 g c) ('Hollands grein') : bij enige auteurs synoniem voor aas 2. eenheid bij de vaststelling van gehalte: goud, verdeeld in 24 karaat a 12 grein; zilver, verdeeld in 12 pennign a 24 grein		(Verhoeff 1983, 105)
SU_0445	Frasila	Gebruikelijke gewichtseenheid in Arabië, 1⁄15 bahar. In het begin van de zeventiende eeuw was, volgens stapel, de frasel kennelijk circa 20 pond Hollands. Latere opgaven wijken daar vrij sterk van af. Bijvoorbeeld Huygelbosch zegt dat de basis van het Arabische gewichtsstelsel was de man of 25⁄8 pond Hollands; 10 man of 26 1⁄4 pond was 1 frasel. GM1: 1⁄25 bahar, die zelf een niet geheel vaste eenheid is; de frasel wisselt zo tussen 20 en 26 1⁄4 pond.		(Kooijmans and Schooneveld-Oosterling 2000, 44-45)
SU_0452	Groote balie	Inhoudsmaat voor natte waren en droge waren.		(Verhoeff 1983, 100)
SU_0470	Ikje	Japanse lengtemaat van 6 voet 3 duim, dat is 3 Nederlandse el, 1,909 meter.		(Kooijmans and Schooneveld-Oosterling 2000, 55)
SU_0483	Garst	Inhoudsmaat voor rijst van variërende grootte op de kust van Coromandel. Telugu.		(Kooijmans and Schooneveld-Oosterling 2000, 46)
